Wines,Country,Reviews,Rating
Bolgheri Superiore Sondraia,Italie,12843,4.2
Amaya Arzuaga (Colección),Espagne,1179,4.3
Chambolle-Musigny Premier Cru 'Les Feusselottes',France,262,4.4
Montrachet Grand Cru Marquis de Laguiche,France,1970,4.6
Barolo Monprivato,Italie,6966,4.4
Reserve Pinotage,Afrique du Sud,1891,4.4
Chassagne-Montrachet 1er Cru 'Morgeot',France,329,4.4
La Landonne Côte-Rôtie,France,584,4.5
Corton-Charlemagne Grand Cru,France,719,4.6
Nuits-Saint-Georges,France,257,4.4
Rapture Cabernet Sauvignon,États-Unis,2117,4.3
Sauternes,France,938,4.3
Pieve Santa Restituta Sugarille Brunello di Montalcino,Italie,3717,4.5
Amour de Deutz Millésimé Brut Champagne,France,5532,4.5
Chassagne-Montrachet 1er Cru 'Morgeot',France,283,4.4
Millecento Brunello di Montalcino Riserva,Italie,1364,4.6
